,uid,isbn,rating
773,5162,067972883X,7
775,5170,014038572X,10
781,5249,0440414121,9
789,5297,0099771519,7
793,5346,0375724370,9
795,5376,0684814773,7
796,5409,0743423682,10
801,5468,1559210869,7
802,5474,0821767240,3
803,5492,1559362324,9
804,5531,0393312801,7
806,5536,0609807420,4
808,5553,0192713434,8
809,5553,0345396936,8
811,5562,0786866586,7
813,5581,0006514588,7
820,5636,0425162443,8
823,5653,1864484098,7
824,5678,0836251822,10
837,5727,0306803984,9
845,5766,0312924801,7
846,5766,0441008534,6
847,5766,0441009239,5
849,5770,0006550789,5
850,5770,0297828991,5
853,5775,0886771404,6
861,5809,0786706953,5
863,5866,0060502258,7
864,5867,0452281423,10
865,5882,0679775439,8
871,5955,0553287893,8
872,5958,0553580531,9
873,5958,042517364X,8
874,5958,0451160193,6
875,5981,0449003795,7
876,5995,0840757239,8
878,5998,0553138014,5
879,5998,0553288342,10
880,5998,0553572210,5
881,5998,0743467523,8
882,5998,1575668475,6
883,5998,1586481614,3
884,6025,0440467012,8
887,6029,0373168284,6
889,6037,0590483803,8
890,6066,0552133256,7
893,6076,1573220531,7
894,6083,0671020293,5
895,6091,0595259677,7
898,6109,0689832923,10
899,6114,0679736662,8
906,6168,0618002219,10
907,6169,051513287X,7
908,6173,088038722X,9
910,6226,0679446486,6
912,6247,0316969443,10
919,6265,031021758X,7
920,6265,0310217598,5
921,6265,1568654782,8
922,6289,096774590X,10
923,6298,0446531480,8
924,6302,0451207645,5
925,6308,0452282829,8
926,6312,0743428188,8
928,6348,0440241073,8
929,6349,0060928336,8
931,6365,0066620732,8
933,6376,0553205803,10
940,6440,8420636282,9
941,6452,0452282829,5
942,6456,0425098451,10
943,6466,0515118249,7
944,6466,0425104052,7
945,6470,0307101479,8
946,6472,0440241413,8
947,6478,0061000299,8
952,6555,0968288308,10
953,6568,0679746048,9
954,6568,0140060898,9
963,6651,0380974487,7
968,6670,006101351X,8
969,6680,0345413369,7
970,6680,0064472272,6
971,6680,0375703764,10
972,6680,0441005489,6
973,6682,0060955775,10
974,6682,0440224748,8
983,6698,0440114330,8
984,6704,0142001740,10
988,6746,0399147837,7
989,6746,0679410341,7
993,6792,1930722109,8
1002,6831,0440229464,8
1006,6858,0671047329,10
1007,6869,0679427279,9
1008,6872,0671027344,7
1010,6884,0380789035,8
1011,6884,0671024248,8
1013,6884,0312924585,7
1014,6884,0743235150,8
1015,6892,0312951426,6
1023,6912,0446523569,10
1026,6940,0553212923,10
1027,6944,0767905385,10
1029,6950,038532748X,5
1030,6965,0689710879,10
1032,6988,0061099570,8
1033,6988,0385333919,9
1034,6988,0449001245,8
1035,6989,0936552034,10
1041,7031,0373250134,6
1042,7037,0671510053,8
1044,7064,0385249683,8
1047,7084,0140042393,10
1048,7084,0141000198,10
1050,7088,0446611778,5
1051,7119,067976402X,9
1052,7119,0671447483,8
1055,7162,043912042X,9
1058,7193,0688162827,7
1059,7199,158567074X,5
1062,7226,0802135196,5
1063,7226,1573225517,9
1064,7234,0971400415,10
1068,7277,0425068293,7
1069,7277,0553295233,7
1071,7301,0140293248,10
1075,7360,0671529986,7
1077,7363,0812520793,7
1081,7377,0553262807,7
1082,7384,0671789422,8
1084,7384,0553208845,8
1085,7384,0060956283,6
1087,7384,0515103292,8
1088,7384,0671657860,5
1091,7398,0385474016,7
1094,7419,0812507274,3
1096,7429,1551668122,8
1097,7431,0375703861,8
1098,7437,1860461670,7
1099,7440,0375410198,10
1101,7456,0449006158,7
1103,7463,0671749102,8
1105,7471,0687287529,5
1113,7507,0684872153,8
1116,7520,0590032496,6
1119,7576,0380727501,9
1124,7614,0375703861,9
1125,7614,0767915054,9
1127,7621,1573229326,7
1134,7665,0312874472,6
1136,7684,1558745718,7
1141,7732,0060971185,7
1144,7769,0553210092,5
1148,7792,0743252136,8
1149,7792,0800758889,9
1150,7792,0812932773,8
1151,7820,0743418174,8
1153,7825,0140042407,8
1156,7842,0671041584,7
1159,7884,0061030635,7
1160,7884,0425125467,8
1162,7918,0440224659,10
1174,7947,0684801051,9
1175,7947,0345421884,3
1178,7984,1576734013,8
1180,7994,0316779490,7
1181,7994,0553375407,8
1184,8006,0385504209,9
1185,8016,0380718340,8
1186,8047,0743237188,9
1187,8048,0802117155,7
1188,8081,0688177859,6
1199,8134,0451205987,7
1202,8150,0679401385,8
1203,8154,0440241073,8
1205,8156,0679419691,8
1207,8185,0553583468,8
1208,8185,0553578693,9
1209,8185,0451203054,8
1210,8185,0451184734,5
1213,8212,1560251476,4
1214,8219,0151008116,7
1217,8240,0440224675,8
1219,8240,0440364574,5
1222,8263,0375705856,8
1231,8305,0395798655,8
1232,8308,1844262553,10
1233,8309,0440236673,8
1235,8317,0380778556,5
1236,8317,067103619X,7
1237,8318,0743246071,6
1238,8361,0971880107,2
1239,8370,0449212602,9
1240,8370,0451523326,8
1246,8541,0385720106,6
1248,8550,0452261457,9
1250,8599,0345441184,9
1254,8633,014028009X,9
1261,8682,0345417623,8
1265,8685,0385509472,10
1266,8706,0425185710,7
1267,8730,0515117234,7
1269,8738,0373250207,7
1271,8747,0802131786,8
1272,8762,1844262553,8
1278,8843,0140293469,9
1280,8853,0312291639,10
1284,8861,0192829068,5
1286,8874,0062502182,5
1288,8933,0451180232,7
1291,8942,052594544X,5
1294,9023,0812550927,9
1295,9034,155874262X,10
1296,9046,0486270513,8
1297,9046,0826452450,7
1299,9057,0966505301,10
1300,9063,0385494238,2
1302,9083,0440224675,4
1303,9083,0440236673,4
1304,9083,0425105334,2
1308,9117,0671558684,9
1309,9139,0064405176,10
1310,9139,0590109960,6
1311,9139,0440220653,8
1313,9139,044021985X,9
1314,9139,0440220238,7
1315,9139,0440227194,8
1316,9139,0451172817,10
1318,9139,0671886665,8
1319,9151,051513595X,7
1320,9154,0553375407,7
1325,9219,0743237188,10
1331,9272,038531177X,8
1333,9277,1582341400,6
1337,9315,0521815819,10
1340,9351,0345456335,9
1344,9427,0836133471,5
1346,9450,0553278002,9
1347,9460,155874424X,10
1353,9540,0060931418,9
1358,9579,0060392452,10
1374,9652,0451166892,9
1376,9679,1932173102,8
1378,9704,0140177396,9
1381,9728,0553582755,10
1382,9730,0440406404,3
1386,9776,031298328X,7
1410,9884,0425153975,10
1416,9915,0553801376,9
1417,9927,0486277879,7
1426,10003,068483068X,10
1427,10003,0743446593,10
1429,10008,0759695377,10
1435,10061,1589610024,9
1437,10090,0385504209,10
1441,10124,0380731851,8
1442,10138,1904492355,8
1446,10153,0440224624,10
1450,10164,0385493800,8
1460,10233,0679723110,9
1461,10248,0451202503,5
1463,10269,0312243022,10
1464,10284,0553277472,8
1474,10325,014038572X,7
1475,10325,0609602438,5
1476,10336,0140255087,8
1481,10401,0060508876,10
1483,10412,0671038850,3
1484,10421,0767915054,5
1490,10469,0671873199,1
1493,10494,0971880107,3
1494,10500,0515099546,5
1495,10501,0812542835,10
1500,10578,0345434110,5
1507,10626,1550544683,8
1514,10651,0671027581,9
1516,10674,0425136981,5
1526,10734,0754807762,2
1529,10760,0195090616,9
1534,10840,0670880728,10
1536,10849,0679454748,9
1539,10899,0307001377,10
1542,10959,0060976845,9
1544,10959,0670894605,7
1545,10959,0743211227,8
1546,10959,038550117X,9
1548,10969,0395585686,9
1549,10986,0590321579,7
1550,10990,0919926487,8
1553,11043,0345436911,8
1557,11079,0345412214,6
1563,11155,044023722X,6
1564,11155,0553375407,6
1567,11169,0345337662,9
1570,11203,1862045143,9
1572,11222,087113795X,9
1573,11230,207054351X,5
1577,11263,0671024094,10
1580,11273,0743411331,8
1581,11283,0440211727,10
1583,11287,0451203771,8
1587,11302,0786860820,7
1589,11320,044651862X,8
1592,11335,0790008696,9
1594,11351,0671522779,7
1596,11365,0440229499,8
1598,11374,0671702513,4
1599,11378,0679420428,7
1600,11383,0273645919,10
1607,11401,0671038184,8
1610,11412,0399145052,8
1614,11416,0590453068,8
1621,11457,0345422317,9
1628,11497,0552998001,9
1631,11521,0679457313,6
1632,11521,0345404114,10
1633,11521,0060930861,7
1634,11521,0440208130,7
1635,11521,0446600288,6
1637,11521,0671507036,8
1638,11521,0812574923,7
1644,11584,0060175400,10
1645,11594,0060928336,8
1646,11594,0345446860,9
1648,11606,0446526126,6
1649,11609,0446610038,8
1650,11617,0345435168,8
1653,11648,0345465083,8
1654,11652,1844262553,8
1657,11668,0440241537,8
1663,11741,0380732181,8
1664,11757,0440411394,9
1665,11757,0590425609,10
1667,11804,0515109509,9
1670,11853,0140259708,5
1674,11898,0425093328,5
1676,11908,0679746048,6
1677,11908,0553274295,5
1680,11940,0385511612,5
1681,11945,0684838087,8
1683,11964,0679735747,10
1684,11999,0670860743,6
1687,12016,0345369025,8
1688,12026,0140389660,7
1705,12270,0330262130,10
1707,12281,0871138018,8
1708,12283,055357258X,8
1713,12319,0345443284,8
1715,12325,1586480286,7
1718,12340,0375725202,8
1724,12384,0312924585,8
1725,12393,0671469975,8
1737,12474,0440220653,4
1740,12502,0896087247,9
1741,12503,0440343690,7
1742,12513,0446360589,8
1743,12514,0553274295,8
1744,12529,080912596X,3
1747,12559,1859028519,9
1750,12581,0345369491,7
1751,12596,0385492707,10
1752,12600,0060084405,10
1753,12606,0874771501,6
1755,12626,0446671002,3
1758,12626,0688160999,7
1759,12630,0679732764,10
1760,12634,1553662415,8
1761,12635,0440408903,9
1767,12671,0375400117,9
1768,12671,0486281965,5
1770,12671,038533396X,10
1776,12687,0312291639,7
1786,12723,0966080521,6
1787,12730,0802130208,4
1788,12733,0887308589,10
1790,12747,0946395438,7
1791,12753,0874772095,10
1792,12755,0553573403,5
1793,12755,0345427637,5
1794,12755,0316110493,7
1795,12776,0141309725,8
1800,12807,055356451X,8
1801,12818,0684870673,8
1803,12820,155874262X,8
1806,12866,0452282829,8
1807,12866,0310209307,10
1814,12923,0440234743,10
1817,12957,0671695347,5
1818,12964,0345310020,7
1819,12964,0374525102,7
1820,12966,0316769487,9
1822,12975,0515107867,6
1825,13001,0805063889,6
1826,13001,0553347756,3
1831,13087,0451410319,8
1832,13088,0971880107,6
1833,13109,0310535212,8
1834,13109,0590341286,7
1841,13140,0486275574,6
1842,13140,1588800296,6
1845,13154,0310200059,7
1853,13207,0375431403,8
1854,13207,0553050044,8
1856,13222,0002005395,8
1858,13231,0684874350,8
1861,13247,0380441071,5
1862,13252,0380002930,8
1866,13283,044900211X,7
1876,13407,059050214X,6
1877,13407,0553297945,9
1878,13407,1901881555,10
1880,13420,0886776783,6
1886,13479,0971880107,4
1887,13479,0061059056,6
1889,13503,0060976845,10
1890,13503,0452277337,10
1891,13503,0452282268,10
1892,13505,0061066079,9
1893,13506,1573229326,3
1895,13535,0805064478,6
1901,13594,159264029X,5
1904,13633,0345333926,8
1906,13638,0375702709,8
1909,13649,0385503822,5
1914,13663,0670030295,8
1916,13698,0440343194,10
1922,13746,0688167810,10
1923,13747,0373704526,9
1925,13766,0312305060,9
1926,13768,0375401296,8
1947,13894,0452283442,6
1951,13911,0141182253,9
1952,13917,0312291639,4
1953,13924,0425148297,8
1955,13960,0345413350,8
1956,13961,0091833345,8
1958,14002,0771099843,10
1959,14002,0140054316,8
1963,14051,0679446486,9
1965,14083,0679736395,4
1966,14095,0140116168,8
1967,14097,0449205061,9
1968,14123,0140185992,8
1969,14124,006440174X,8
1970,14135,039914465X,7
1988,14221,006050675X,10
1992,14228,0805065415,8
1996,14241,0525947736,9
1997,14241,0141006633,7
1998,14251,0395746566,9
2003,14272,0826307361,7
2004,14272,0882669842,5
2008,14293,0671683993,9
2010,14303,0679457526,8
2013,14319,0553377876,9
2014,14319,0374129983,8
2015,14319,0380725576,8
2021,14358,0743243307,6
2022,14369,0425179613,8
2026,14450,0312978367,4
2027,14453,0345442822,10
2030,14491,0816735662,5
2031,14491,0843136170,10
2036,14508,0684873052,8
2037,14509,0974218006,10
2048,14621,0671441035,8
2055,14710,0805063749,9
2057,14721,0743471555,8
2066,14787,0747552177,6
2067,14790,0571167772,8
2073,14806,1588720284,9
2074,14806,1588720004,8
2076,14806,1588720306,10
2077,14812,0380731851,8
2078,14812,0061092533,6
2089,14892,0064400859,8
2092,14949,0140389113,5
2094,14952,0060090367,10
2095,14952,0156012197,10
2096,14952,0330491482,8
2097,14952,0452285011,10
2102,15020,0590512951,10
2103,15027,0553275976,6
2104,15029,0345314999,6
2113,15067,189186744X,10
2114,15071,0312195516,8
2120,15123,0451183347,7
2125,15172,0330306731,7
2134,15223,0812505026,5
2135,15225,006051261X,7
2136,15228,0877283362,9
2137,15228,1571740570,10
2141,15258,0130212806,5
2142,15258,0226437396,1
2144,15272,0446353728,7
2149,15310,0312864876,8
2150,15310,0451204115,4
2151,15310,0385332890,9
2155,15351,0684848783,7
2156,15351,0679721886,7
2157,15351,0451524209,8
2158,15351,0887308678,7
2159,15355,0380018179,8
2160,15369,0515133973,10
2165,15437,0425148297,8
2166,15437,0821771167,7
2172,15477,0140430164,8
2173,15479,0380789019,6
2174,15479,0812550706,10
2175,15479,0812505182,9
2176,15479,0812551605,10
2179,15484,0553279025,10
2180,15487,0749931191,5
2183,15496,0345311485,9
2185,15505,0451525663,8
2186,15505,0684803348,5
2190,15523,0553583980,5
2193,15543,0451208501,10
2195,15573,0394574745,8
2198,15583,0345342968,10
2203,15632,1853260002,9
2204,15638,0452267110,7
2206,15645,0895776197,7
2210,15688,0684718634,10
2212,15696,0553256971,10
2214,15703,0451191722,8
2215,15711,0312924585,8
2218,15722,0425184129,8
2219,15732,1580626548,9
2220,15757,0553296752,8
2222,15767,0140317937,7
2226,15803,0486270556,5
2227,15803,0439087597,8
2229,15803,0670854808,4
2230,15803,080690853X,6
2232,15812,0679731148,8
2233,15849,0679738282,9
2235,15853,0385479565,7
2236,15853,0385498799,6
2237,15853,0312203578,6
2241,15872,0451159497,7
2243,15883,0374270325,9
2245,15894,1584650028,9
2252,15971,0312206100,8
2255,15985,0140293248,8
2261,16006,0312964781,7
2262,16015,0440217032,7
2265,16053,0553579312,7
2267,16058,0385319037,6
2268,16060,0865470545,5
2269,16060,0865470561,5
2273,16098,0373077513,5
2279,16113,1573228710,8
2280,16116,0440222656,8
2284,16138,0446364266,9
2287,16146,0091831032,8
2288,16158,0671039962,8
2289,16172,0836250877,4
2290,16199,0671868365,5
2292,16226,0671727796,8
2294,16233,0671447238,8
2296,16241,039480001X,8
2302,16271,1585673129,5
2304,16280,0525934960,8
2306,16285,0330329758,8
2311,16326,0140314601,3
2317,16376,0312422156,5
2318,16380,0140180885,7
2319,16381,0345450892,8
2322,16408,0140506829,7
2323,16411,0380704471,7
2341,16537,0671762680,1
2342,16553,0345427637,8
2343,16553,0451526643,5
2344,16554,067086014X,1
2354,16623,0064440850,9
2356,16631,006101351X,5
2357,16631,0767905202,7
2359,16649,0440229499,7
2361,16665,1561792802,5
2362,16678,8420429147,8
2364,16736,0061015725,10
2365,16746,0060175400,9
2366,16747,0446600474,5
2369,16764,0151002630,8
2370,16764,1573227161,8
2371,16764,0226510832,8
2373,16771,1588204030,10
2374,16774,0394758439,3
2380,16786,1564581128,5
2391,16800,0743418735,9
2396,16859,080411868X,8
2398,16865,0373872410,8
2399,16870,0812966430,9
2401,16873,0060191252,7
2406,16923,0140327592,6
2419,17007,0553375407,10
2420,17012,0156628708,9
2422,17012,067944999X,7
2425,17049,0345350472,7
2427,17083,0970745869,9
2429,17106,0061056413,8
2430,17108,1853261181,9
2431,17109,0060168706,5
2435,17156,0446607657,5
2436,17156,034538430X,9
2437,17156,0345422317,7
2439,17160,0201709147,7
2440,17165,1841950521,9
2441,17167,0373218192,8
2454,17272,0451197275,8
2456,17275,0786881852,8
2458,17288,0807046000,6
2460,17321,0312089244,7
2461,17332,0152268332,8
2468,17359,0802130208,10
2470,17389,0399145087,6
2471,17397,0385316917,10
2472,17404,0821750399,8
2477,17433,0688095194,5
2485,17446,0441005748,8
2486,17449,0553569031,6
2489,17457,0688132456,6
2504,17506,0590897985,8
2508,17535,0515129224,5
2513,17583,0486268705,10
2514,17583,0486268780,10
2515,17602,0385265700,6
2518,17614,0440220793,5
2519,17616,039395739X,10
2520,17635,1400047838,6
2530,17752,0670032379,8
2533,17768,0670878073,5
2534,17781,0375706429,9
2541,17857,0743412028,10
2543,17871,0440220793,8
2544,17871,0061096857,9
2545,17878,0945448651,5
2549,17890,1559638095,7
2550,17890,1562472291,5
2551,17892,0316969443,8
2553,17893,0375725784,4
2559,17949,0671730819,10
2565,17996,0451187997,6
2569,18022,0743477154,8
2576,18059,0373262175,9
2577,18065,0425190447,7
2582,18114,1551661756,8
2583,18114,0380794497,9
2588,18157,1896647480,9
2589,18162,038079487X,7
2600,18278,0385315236,7
2603,18312,0399151613,10
2604,18317,0345361792,9
2608,18331,0440224047,10
2610,18349,0375412328,8
2611,18350,0553298836,8
2613,18375,1414013582,10
2617,18408,0553109537,8
2626,18502,0312243022,7
2631,18515,0425172546,5
2632,18515,042516098X,5
2633,18541,0425152251,4
2638,18567,0743469801,7
2641,18582,1853261122,8
2649,18603,0553374524,8
2654,18624,0440201985,10
2656,18654,0425107078,8
2660,18682,1400031362,6
2661,18683,0312953585,6
2663,18701,076790382X,7
2664,18701,0374129983,2
2666,18719,0399147144,5
2671,18784,0910941017,10
2672,18795,0064407667,10
2674,18805,0448425831,10
2675,18806,0375758453,8
2680,18843,0747512582,6
2681,18845,0141300272,8
2682,18848,0399137807,5
2683,18861,0802132952,2
2684,18879,0886779154,8
2686,18900,1573226491,7
2688,18925,0671749102,8
2692,18951,1551668998,10
2696,18989,0446519537,5
2697,18989,0688177867,9
2698,19010,0140042393,10
2701,19032,0553377876,5
2702,19036,1573229628,7
2705,19050,1573226521,7
2710,19096,0425166619,8
2720,19132,0316769487,8
2726,19166,0446519642,7
2734,19202,0312252854,7
2740,19248,0380978342,9
2741,19248,0060198753,9
2743,19248,038531826X,8
2745,19268,0684867621,7
2747,19295,1581346085,10
2749,19330,078581325X,7
2750,19337,1588720195,9
2752,19339,0449213145,9
2754,19347,0671027115,5
2755,19365,1410716856,10
2761,19433,0786868716,6
2773,19515,0373242417,8
2774,19519,0751526568,5
2782,19549,0345342968,8
2783,19549,1931391947,8
2787,19558,0805063897,9
2792,19586,1551667363,10
2793,19589,0765309521,10
2797,19617,0425163385,9
2800,19648,0671867113,10
2808,19680,0515102652,10
2814,19694,0452260116,5
2819,19709,0066214122,9
2821,19709,0553104845,8
2824,19720,0843947616,5
2829,19745,0486268659,10
2830,19745,0570052912,10
2832,19762,1863682406,9
2844,19846,0440180694,6
2848,19856,0312957637,8
2865,20054,0345436911,8
2866,20074,0671578707,5
2867,20082,0451526341,10
2869,20102,0553380400,10
2872,20123,0440236819,7
2875,20168,0440439884,7
2876,20175,0345424719,7
2877,20176,0590444476,7
2879,20204,0380708388,10
2881,20239,0451410149,2
2886,20306,0451206711,5
2891,20337,0812512456,4
2893,20351,014028009X,8
2894,20352,0425133656,9
2895,20352,0553576399,7
2896,20352,0134065549,7
2898,20361,0486414167,5
2900,20389,0671868691,10
2905,20413,0310228638,10
2910,20438,0679766626,5
2914,20453,0061092819,7
2915,20453,055327953X,7
2916,20453,0440211468,9
2918,20468,155874262X,8
2922,20500,0595297145,10
2923,20508,0674589157,7
2924,20514,0465067867,9
2925,20516,0595001769,8
2927,20525,0684195984,8
2944,20612,0345334531,7
2947,20630,1551664860,7
2955,20686,0061043079,9
2957,20699,0767905385,9
2959,20712,0451186362,5
2960,20714,0312244266,5
2961,20719,0515120456,8
2962,20729,0446604666,9
2966,20775,0786889209,6
2971,20833,0375708111,8
2972,20834,0812550706,5
2973,20839,1550502654,8
2975,20862,0440241073,4
2976,20863,039914675X,10
2977,20872,0684804212,6
2982,20892,0156007754,7
2985,20897,0062502239,7
2997,20993,0786010266,7
3004,21047,0743407083,10
3008,21052,034541389X,5
3016,21063,0156005891,8
3020,21090,0446365386,9
3026,21124,0618126988,9
3031,21165,074322423X,7
3033,21165,0840775962,5
3037,21196,0345442822,10
3038,21208,0385722206,8
3039,21208,0892964472,7
3045,21254,0786889349,5
3046,21256,1573221708,9
3049,21264,0440234743,5
3050,21264,0385335482,7
3051,21264,0743418174,6
3052,21264,0060830956,7
3054,21264,0758201435,7
3056,21270,0449702146,8
3057,21275,0061097861,6
3058,21277,0140177396,10
3061,21283,0802713432,8
3062,21283,1853260320,9
3063,21300,1558749780,8
3064,21311,0345384466,10
3065,21311,0373079680,10
3066,21311,037322365X,10
3067,21311,0553445987,10
3068,21316,0345325222,6
3069,21351,0141300477,6
3082,21400,0807081035,8
3085,21418,0375725784,8
3086,21423,055356160X,9
3089,21470,1888363576,8
3090,21471,0060170166,7
3091,21479,0393312836,10
3095,21493,0399141855,6
3099,21501,0399148450,5
3107,21608,0064400018,9
3109,21620,0449149676,10
3112,21627,0446606812,8
3114,21643,0698119320,7
3116,21648,0316150541,10
3123,21698,0425152251,9
3132,21745,0345293010,8
3133,21758,0671000853,5
3134,21778,0071381392,9
3135,21788,0060928336,8
3136,21788,0060517794,9
3138,21790,0141302291,5
3139,21800,0061000043,9
3143,21861,0385720106,9
3144,21861,0804111359,7
3146,21863,0812504305,9
3155,21915,0425182878,7
3161,21948,0425182878,7
3163,21948,0671024108,6
3164,21948,0345441036,7
3165,21948,0312955006,8
3166,21948,0553571923,7
3167,21956,0316969443,7
3168,21956,0380805995,8
3170,21962,0553571656,10
3171,21964,0345422384,7
3175,21979,0312960123,5
3179,22029,0679776214,6
3180,22066,0312965680,6
3181,22071,0064472272,8
3187,22095,0440235596,5
3188,22095,0440223202,8
3189,22095,0061093335,5
3191,22122,0553582364,6
3194,22152,0679744398,7
3201,22217,0451456734,10
3202,22228,0385504209,5
3203,22229,0380704587,6
3207,22241,043935806X,8
3208,22271,0553206516,10
3209,22287,0140254749,10
3217,22403,0385504209,9
3218,22406,1567184642,4
3222,22422,0451526279,8
3225,22437,0740704818,10
3226,22439,0060392827,9
3227,22463,0345402871,6
3228,22463,0671024094,8
3229,22463,0671023217,8
3236,22510,0312964943,8
3243,22563,0886777631,9
3244,22563,0679735771,6
3245,22563,006024254X,5
